,Row,Anon Student Id,Problem Hierarchy,Problem Name,Problem View,Step Name,Step Start Time,First Transaction Time,Correct Transaction Time,Step End Time,Step Duration (sec),Correct Step Duration (sec),Error Step Duration (sec),Correct First Attempt,Incorrects,Hints,Corrects,KC(Default),Opportunity(Default)
1196962,1593215,hpN7z,"Unit RATIONAL-IRRATIONAL-NUMBERS, Section RATIONAL-IRRATIONAL-NUMBERS-1",RATIONAL1-284,1,RationalNumberline1,2007-03-15 15:42:08.0,2007-03-15 15:42:17.0,2007-03-15 15:42:25.0,2007-03-15 15:42:25.0,16.0,,16.0,0,4,1,1,Plot pi,1
1196966,1593219,hpN7z,"Unit RATIONAL-IRRATIONAL-NUMBERS, Section RATIONAL-IRRATIONAL-NUMBERS-1",RATIONAL1-287,1,RationalNumberline1,2007-03-15 15:42:56.0,2007-03-15 15:43:08.0,2007-03-15 15:43:15.0,2007-03-15 15:43:15.0,14.0,,14.0,0,0,1,1,Plot non-terminating improper fraction,1
1196968,1593221,hpN7z,"Unit RATIONAL-IRRATIONAL-NUMBERS, Section RATIONAL-IRRATIONAL-NUMBERS-1",RATIONAL1-041,1,RationalNumberline1,2007-03-15 15:43:18.0,2007-03-15 15:43:51.0,2007-03-15 15:44:00.0,2007-03-15 15:44:00.0,41.0,,41.0,0,4,1,1,Plot imperfect radical,1
1196970,1593223,hpN7z,"Unit RATIONAL-IRRATIONAL-NUMBERS, Section RATIONAL-IRRATIONAL-NUMBERS-1",RATIONAL1-114,1,RationalNumberline1,2007-03-21 16:38:06.0,2007-03-21 16:38:17.0,2007-03-21 16:38:31.0,2007-03-21 16:38:31.0,20.0,,20.0,0,3,1,1,Plot terminating proper fraction,2
1196973,1593226,hpN7z,"Unit RATIONAL-IRRATIONAL-NUMBERS, Section RATIONAL-IRRATIONAL-NUMBERS-1",RATIONAL1-248,1,RationalNumberline1,2007-03-21 16:38:54.0,2007-03-21 16:39:06.0,2007-03-21 16:39:21.0,2007-03-21 16:39:21.0,22.0,,22.0,0,3,1,1,Plot terminating proper fraction,3
1196982,1593235,hpN7z,"Unit RATIONAL-IRRATIONAL-NUMBERS, Section RATIONAL-IRRATIONAL-NUMBERS-1",RATIONAL1-117,1,RationalNumberline1,2007-03-21 16:42:04.0,2007-03-21 16:42:16.0,2007-03-21 16:42:26.0,2007-03-21 16:42:26.0,18.0,,18.0,0,2,1,1,Plot non-terminating improper fraction,2
1196984,1593237,hpN7z,"Unit RATIONAL-IRRATIONAL-NUMBERS, Section RATIONAL-IRRATIONAL-NUMBERS-1",RATIONAL1-137,1,RationalNumberline1,2007-03-21 16:42:32.0,2007-03-21 16:43:02.0,2007-03-21 16:43:14.0,2007-03-21 16:43:14.0,41.0,,41.0,0,6,2,1,Plot imperfect radical,2
1196987,1593240,hpN7z,"Unit RATIONAL-IRRATIONAL-NUMBERS, Section RATIONAL-IRRATIONAL-NUMBERS-1",RATIONAL1-003,1,RationalNumberline1,2007-03-21 16:43:46.0,2007-03-21 16:43:56.0,2007-03-21 16:43:56.0,2007-03-21 16:43:56.0,10.0,10.0,,1,0,0,1,Plot terminating proper fraction,4
1196994,1593247,hpN7z,"Unit RATIONAL-IRRATIONAL-NUMBERS, Section RATIONAL-IRRATIONAL-NUMBERS-1",RATIONAL1-293,1,RationalNumberline1,2007-03-21 16:45:14.0,2007-03-21 16:45:36.0,2007-03-21 16:45:47.0,2007-03-21 16:45:47.0,28.0,,28.0,0,3,1,1,Plot non-terminating improper fraction,3
1196996,1593249,hpN7z,"Unit RATIONAL-IRRATIONAL-NUMBERS, Section RATIONAL-IRRATIONAL-NUMBERS-1",RATIONAL1-090,1,RationalNumberline1,2007-03-21 16:45:55.0,2007-03-21 16:46:07.0,2007-03-21 16:46:17.0,2007-03-21 16:46:17.0,20.0,,20.0,0,5,1,1,Plot imperfect radical,3
1196999,1593252,hpN7z,"Unit RATIONAL-IRRATIONAL-NUMBERS, Section RATIONAL-IRRATIONAL-NUMBERS-1",RATIONAL1-045,1,RationalNumberline1,2007-03-21 16:47:34.0,2007-03-21 16:47:45.0,2007-03-21 16:47:45.0,2007-03-21 16:47:45.0,11.0,11.0,,1,0,0,1,Plot pi,2
1197008,1593261,hpN7z,"Unit RATIONAL-IRRATIONAL-NUMBERS, Section RATIONAL-IRRATIONAL-NUMBERS-1",RATIONAL1-101,1,RationalNumberline1,2007-03-21 16:50:36.0,2007-03-21 16:50:51.0,2007-03-21 16:50:59.0,2007-03-21 16:50:59.0,23.000999999999998,,23.000999999999998,0,3,1,1,Plot non-terminating improper fraction,4
1197010,1593263,hpN7z,"Unit RATIONAL-IRRATIONAL-NUMBERS, Section RATIONAL-IRRATIONAL-NUMBERS-1",RATIONAL1-138,1,RationalNumberline1,2007-03-21 16:51:03.0,2007-03-21 16:51:22.0,2007-03-21 16:51:36.0,2007-03-21 16:51:36.0,32.0,,32.0,0,5,1,1,Plot imperfect radical,4
1198114,1594815,xFjwn,"Unit RATIONAL-IRRATIONAL-NUMBERS, Section RATIONAL-IRRATIONAL-NUMBERS-1",RATIONAL1-014,1,RationalNumberline1,2007-03-30 15:49:55.0,2007-03-30 15:50:06.0,2007-03-30 15:50:18.0,2007-03-30 15:50:18.0,18.0,,18.0,0,3,1,1,Plot non-terminating improper fraction,1
1198116,1594817,xFjwn,"Unit RATIONAL-IRRATIONAL-NUMBERS, Section RATIONAL-IRRATIONAL-NUMBERS-1",RATIONAL1-151,1,RationalNumberline1,2007-03-30 15:50:50.0,2007-03-30 15:51:17.0,2007-03-30 15:51:17.0,2007-03-30 15:51:17.0,27.0,27.0,,1,0,0,1,Plot terminating proper fraction,1
1198119,1594820,xFjwn,"Unit RATIONAL-IRRATIONAL-NUMBERS, Section RATIONAL-IRRATIONAL-NUMBERS-1",RATIONAL1-160,1,RationalNumberline1,2007-03-30 15:52:10.0,2007-03-30 15:52:33.0,2007-03-30 15:52:34.0,2007-03-30 15:52:34.0,24.0,,24.0,0,1,0,1,Plot non-terminating improper fraction,2
1198124,1594825,xFjwn,"Unit RATIONAL-IRRATIONAL-NUMBERS, Section RATIONAL-IRRATIONAL-NUMBERS-1",RATIONAL1-300,1,RationalNumberline1,2007-03-30 15:54:45.0,2007-03-30 15:55:00.0,2007-03-30 15:55:00.0,2007-03-30 15:55:00.0,15.0,15.0,,1,0,0,1,Plot whole number,1
1198125,1594826,xFjwn,"Unit RATIONAL-IRRATIONAL-NUMBERS, Section RATIONAL-IRRATIONAL-NUMBERS-1",RATIONAL1-159,1,RationalNumberline1,2007-03-30 15:55:03.0,2007-03-30 15:55:40.0,2007-03-30 15:55:40.0,2007-03-30 15:55:40.0,37.0,37.0,,1,0,0,1,Plot decimal - thousandths,1
1198127,1594828,xFjwn,"Unit RATIONAL-IRRATIONAL-NUMBERS, Section RATIONAL-IRRATIONAL-NUMBERS-1",RATIONAL1-059,1,RationalNumberline1,2007-03-30 15:56:08.0,2007-03-30 15:57:48.0,2007-03-30 15:57:50.0,2007-03-30 15:57:50.0,101.999,,101.999,0,3,1,1,Plot imperfect radical,1
1198132,1594833,xFjwn,"Unit RATIONAL-IRRATIONAL-NUMBERS, Section RATIONAL-IRRATIONAL-NUMBERS-1",RATIONAL1-229,1,RationalNumberline1,2007-03-30 16:00:14.0,2007-03-30 16:01:39.0,2007-03-30 16:01:39.0,2007-03-30 16:01:39.0,85.0,85.0,,1,0,0,1,Plot imperfect radical,2
1198134,1594835,xFjwn,"Unit RATIONAL-IRRATIONAL-NUMBERS, Section RATIONAL-IRRATIONAL-NUMBERS-1",RATIONAL1-045,1,RationalNumberline1,2007-03-30 16:02:02.0,2007-03-30 16:02:10.0,2007-03-30 16:02:24.0,2007-03-30 16:02:24.0,22.0,,22.0,0,3,1,1,Plot pi,1
1198135,1594836,xFjwn,"Unit RATIONAL-IRRATIONAL-NUMBERS, Section RATIONAL-IRRATIONAL-NUMBERS-1",RATIONAL1-253,1,RationalNumberline1,2007-03-30 16:02:31.0,2007-03-30 16:02:39.0,2007-03-30 16:02:39.0,2007-03-30 16:02:39.0,8.0,8.0,,1,0,0,1,Plot terminating proper fraction,2
1198136,1594837,xFjwn,"Unit RATIONAL-IRRATIONAL-NUMBERS, Section RATIONAL-IRRATIONAL-NUMBERS-1",RATIONAL1-247,1,RationalNumberline1,2007-03-30 16:02:43.0,2007-03-30 16:02:47.0,2007-03-30 16:02:47.0,2007-03-30 16:02:47.0,4.0,4.0,,1,0,0,1,Plot whole number,2
1198139,1594840,xFjwn,"Unit RATIONAL-IRRATIONAL-NUMBERS, Section RATIONAL-IRRATIONAL-NUMBERS-1",RATIONAL1-100,1,RationalNumberline1,2007-03-30 16:03:40.0,2007-03-30 16:03:57.0,2007-03-30 16:03:57.0,2007-03-30 16:03:57.0,17.0,17.0,,1,0,0,1,Plot non-terminating improper fraction,3
1198144,1594845,xFjwn,"Unit RATIONAL-IRRATIONAL-NUMBERS, Section RATIONAL-IRRATIONAL-NUMBERS-1",RATIONAL1-284,1,RationalNumberline1,2007-04-09 17:07:01.0,2007-04-09 17:07:20.0,2007-04-09 17:07:45.0,2007-04-09 17:07:45.0,36.997,,36.997,0,14,4,1,Plot pi,2
1198158,1594859,xFjwn,"Unit RATIONAL-IRRATIONAL-NUMBERS, Section RATIONAL-IRRATIONAL-NUMBERS-1",RATIONAL1-272,1,RationalNumberline1,2007-04-11 17:28:38.0,2007-04-11 17:29:19.0,2007-04-11 17:29:19.0,2007-04-11 17:29:19.0,41.0,41.0,,1,0,0,1,Plot terminating proper fraction,3
1198159,1594860,xFjwn,"Unit RATIONAL-IRRATIONAL-NUMBERS, Section RATIONAL-IRRATIONAL-NUMBERS-1",RATIONAL1-122,1,RationalNumberline1,2007-04-11 17:29:26.0,2007-04-11 17:29:47.0,2007-04-11 17:29:47.0,2007-04-11 17:29:47.0,21.0,21.0,,1,0,0,1,Plot pi,3
1198170,1594871,xFjwn,"Unit RATIONAL-IRRATIONAL-NUMBERS, Section RATIONAL-IRRATIONAL-NUMBERS-1",RATIONAL1-138,1,RationalNumberline1,2007-04-11 17:36:59.0,2007-04-11 17:38:09.0,2007-04-11 17:40:11.0,2007-04-11 17:40:11.0,187.0,,187.0,0,4,1,1,Plot imperfect radical,3
1198174,1594875,xFjwn,"Unit RATIONAL-IRRATIONAL-NUMBERS, Section RATIONAL-IRRATIONAL-NUMBERS-1",RATIONAL1-255,1,RationalNumberline1,2007-04-11 17:40:58.0,2007-04-11 17:42:21.0,2007-04-11 17:42:36.0,2007-04-11 17:42:36.0,91.0,,91.0,0,3,1,1,Plot imperfect radical,4
1200069,1597029,Gb6X0,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-2",RATIO2-001,1,SimplifiedNumeratorQuantity1,2006-12-12 10:59:20.0,2006-12-12 10:59:26.0,2006-12-12 10:59:26.0,2006-12-12 10:59:26.0,6.0,6.0,,1,0,0,1,Calculate unit rate,1
1200075,1597035,Gb6X0,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-2",RATIO2-001,1,SimplifiedNumeratorQuantity2,2006-12-12 10:59:31.0,2006-12-12 10:59:35.0,2006-12-12 11:00:38.0,2006-12-12 11:00:38.0,44.0,,44.0,0,4,1,1,Calculate unit rate,2
1200084,1597044,Gb6X0,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-2",RATIO2-179,1,SimplifiedNumeratorQuantity1,2006-12-12 11:01:16.0,2006-12-12 11:01:20.0,2006-12-12 11:02:10.0,2006-12-12 11:02:10.0,33.0,,33.0,0,4,2,1,Calculate unit rate,3
1200093,1597053,Gb6X0,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-2",RATIO2-179,1,SimplifiedNumeratorQuantity2,2006-12-12 11:02:46.0,2006-12-12 11:02:49.0,2006-12-12 11:02:57.0,2006-12-12 11:02:57.0,9.0,,9.0,0,0,1,1,Calculate unit rate,4
1200100,1597060,Gb6X0,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-2",RATIO2-136,1,SimplifiedNumeratorQuantity1,2006-12-12 11:03:46.0,2006-12-12 11:03:50.0,2006-12-12 11:03:50.0,2006-12-12 11:03:50.0,4.0,4.0,,1,0,0,1,Calculate unit rate,5
1200110,1597070,Gb6X0,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-2",RATIO2-136,1,SimplifiedNumeratorQuantity2,2006-12-12 11:04:22.0,2006-12-12 11:04:24.0,2006-12-12 11:04:24.0,2006-12-12 11:04:24.0,2.0,2.0,,1,0,0,1,Calculate unit rate,6
1200120,1597080,Gb6X0,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-2",RATIO2-167,1,SimplifiedNumeratorQuantity1,2006-12-12 11:05:21.0,2006-12-12 11:05:26.0,2006-12-12 11:05:38.0,2006-12-12 11:05:38.0,15.0,,15.0,0,1,1,1,Calculate unit rate,7
1200126,1597086,Gb6X0,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-2",RATIO2-167,1,SimplifiedNumeratorQuantity2,2006-12-12 11:06:09.0,2006-12-12 11:06:15.0,2006-12-12 11:06:15.0,2006-12-12 11:06:15.0,6.0,6.0,,1,0,0,1,Calculate unit rate,8
1200137,1597097,Gb6X0,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-2",RATIO2-111,1,SimplifiedNumeratorQuantity1,2006-12-12 11:07:26.0,2006-12-12 11:07:33.0,2006-12-12 11:07:33.0,2006-12-12 11:07:33.0,7.0,7.0,,1,0,0,1,Calculate unit rate,9
1200143,1597103,Gb6X0,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-2",RATIO2-111,1,SimplifiedNumeratorQuantity2,2006-12-12 11:07:56.0,2006-12-12 11:08:00.0,2006-12-12 11:08:00.0,2006-12-12 11:08:00.0,4.0,4.0,,1,0,0,1,Calculate unit rate,10
1200157,1597117,Gb6X0,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-3",RATIO3-001,1,EquationAnswer,2006-12-12 11:10:25.0,2006-12-12 11:10:48.0,2006-12-12 11:11:47.0,2006-12-12 11:11:47.0,37.0,,37.0,0,2,0,1,Calculate part in proportion with fractions,1
1200170,1597130,Gb6X0,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-3",RATIO3-118,1,EquationAnswer,2006-12-12 11:14:52.0,2006-12-12 11:14:55.0,2006-12-12 11:15:10.0,2006-12-12 11:15:10.0,18.0,,18.0,0,1,0,1,Calculate part in proportion with fractions,2
1200183,1597143,Gb6X0,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-3",RATIO3-191,1,EquationAnswer,2006-12-12 11:17:22.0,2006-12-12 11:17:23.0,2006-12-12 11:17:23.0,2006-12-12 11:17:23.0,1.0,1.0,,1,0,0,1,Calculate total in proportion with fractions,1
1200195,1597155,Gb6X0,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-3",RATIO3-156,1,EquationAnswer,2006-12-12 11:18:35.0,2006-12-12 11:18:47.0,2006-12-12 11:18:47.0,2006-12-12 11:18:47.0,12.0,12.0,,1,0,0,1,Calculate part in proportion with fractions,3
1200208,1597168,Gb6X0,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-3",RATIO3-068,1,EquationAnswer,2006-12-12 11:22:34.0,2006-12-12 11:22:38.0,2006-12-12 11:22:38.0,2006-12-12 11:22:38.0,4.0,4.0,,1,0,0,1,Calculate total in proportion with fractions,2
1200221,1597181,Gb6X0,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-3",RATIO3-139,1,EquationAnswer,2006-12-12 11:24:14.0,2006-12-12 11:24:28.0,2006-12-12 11:24:28.0,2006-12-12 11:24:28.0,14.0,14.0,,1,0,0,1,Calculate total in proportion with fractions,3
1200233,1597193,Gb6X0,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-3",RATIO3-033,1,EquationAnswer,2006-12-12 11:26:09.0,2006-12-12 11:26:30.0,2006-12-12 11:26:30.0,2006-12-12 11:26:30.0,21.0,21.0,,1,0,0,1,Calculate part in proportion with fractions,4
1200246,1597206,Gb6X0,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-3",RATIO3-134,1,EquationAnswer,2006-12-12 11:28:29.0,2006-12-12 11:28:33.0,2006-12-12 11:28:33.0,2006-12-12 11:28:33.0,4.0,4.0,,1,0,0,1,Calculate part in proportion with fractions,5
1200258,1597218,Gb6X0,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-3",RATIO3-054,1,EquationAnswer,2006-12-12 11:29:47.0,2006-12-12 11:29:49.0,2006-12-12 11:29:49.0,2006-12-12 11:29:49.0,2.0,2.0,,1,0,0,1,Calculate total in proportion with fractions,4
1200270,1597230,Gb6X0,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-3",RATIO3-075,1,EquationAnswer,2006-12-12 11:31:23.0,2006-12-12 11:31:34.0,2006-12-12 11:31:34.0,2006-12-12 11:31:34.0,11.0,11.0,,1,0,0,1,Calculate total in proportion with fractions,5
1200283,1597243,Gb6X0,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-3",RATIO3-161,1,EquationAnswer,2006-12-14 12:52:32.0,2006-12-14 12:52:34.0,2006-12-14 12:52:34.0,2006-12-14 12:52:34.0,2.0,2.0,,1,0,0,1,Calculate part in proportion with fractions,6
1200295,1597255,Gb6X0,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-3",RATIO3-142,1,EquationAnswer,2006-12-14 12:53:52.0,2006-12-14 12:53:56.0,2006-12-14 12:53:56.0,2006-12-14 12:53:56.0,4.0,4.0,,1,0,0,1,Calculate total in proportion with fractions,6
1200307,1597267,Gb6X0,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-3",RATIO3-088,1,EquationAnswer,2006-12-14 12:55:09.0,2006-12-14 12:55:12.0,2006-12-14 12:55:12.0,2006-12-14 12:55:12.0,3.0,3.0,,1,0,0,1,Calculate part in proportion with fractions,7
1200319,1597279,Gb6X0,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-3",RATIO3-200,1,EquationAnswer,2006-12-14 12:56:32.0,2006-12-14 12:56:35.0,2006-12-14 12:56:35.0,2006-12-14 12:56:35.0,3.0,3.0,,1,0,0,1,Calculate part in proportion with fractions,8
1200331,1597291,Gb6X0,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-3",RATIO3-117,1,EquationAnswer,2006-12-14 12:57:41.0,2006-12-14 12:57:43.0,2006-12-14 12:57:43.0,2006-12-14 12:57:43.0,2.0,2.0,,1,0,0,1,Calculate total in proportion with fractions,7
1200343,1597303,Gb6X0,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-3",RATIO3-165,1,EquationAnswer,2006-12-14 12:59:15.0,2006-12-14 12:59:17.0,2006-12-14 12:59:17.0,2006-12-14 12:59:17.0,2.0,2.0,,1,0,0,1,Calculate part in proportion with fractions,9
1200729,1598127,Gb6X0,"Unit RATIONAL-IRRATIONAL-NUMBERS, Section RATIONAL-IRRATIONAL-NUMBERS-1",RATIONAL1-253,1,RationalNumberline1,2007-03-08 15:36:27.0,2007-03-08 15:36:41.0,2007-03-08 15:36:52.0,2007-03-08 15:36:52.0,24.999000000000002,,24.999000000000002,0,5,1,1,Plot terminating proper fraction,1
1200731,1598129,Gb6X0,"Unit RATIONAL-IRRATIONAL-NUMBERS, Section RATIONAL-IRRATIONAL-NUMBERS-1",RATIONAL1-181,1,RationalNumberline1,2007-03-08 15:36:55.0,2007-03-08 15:37:15.0,2007-03-08 15:37:51.0,2007-03-08 15:37:51.0,22.0,,22.0,0,0,1,1,Plot terminating proper fraction,2
1200732,1598130,Gb6X0,"Unit RATIONAL-IRRATIONAL-NUMBERS, Section RATIONAL-IRRATIONAL-NUMBERS-1",RATIONAL1-186,1,RationalNumberline1,2007-03-08 15:37:54.0,2007-03-08 15:38:01.0,2007-03-08 15:38:04.0,2007-03-08 15:38:04.0,10.001,,10.001,0,3,1,1,Plot terminating proper fraction,3
1200743,1598141,Gb6X0,"Unit RATIONAL-IRRATIONAL-NUMBERS, Section RATIONAL-IRRATIONAL-NUMBERS-1",RATIONAL1-100,1,RationalNumberline1,2007-03-08 15:40:57.0,2007-03-08 15:41:14.0,2007-03-08 15:41:45.0,2007-03-08 15:41:45.0,44.0,,44.0,0,2,1,1,Plot non-terminating improper fraction,1
1200745,1598143,Gb6X0,"Unit RATIONAL-IRRATIONAL-NUMBERS, Section RATIONAL-IRRATIONAL-NUMBERS-1",RATIONAL1-055,1,RationalNumberline1,2007-03-08 15:42:10.0,2007-03-08 15:42:18.0,2007-03-08 15:42:19.0,2007-03-08 15:42:19.0,9.0,,9.0,0,1,0,1,Plot whole number,1
1200747,1598145,Gb6X0,"Unit RATIONAL-IRRATIONAL-NUMBERS, Section RATIONAL-IRRATIONAL-NUMBERS-1",RATIONAL1-298,1,RationalNumberline1,2007-03-08 15:42:46.0,2007-03-08 15:43:03.0,2007-03-08 15:43:03.0,2007-03-08 15:43:03.0,17.0,17.0,,1,0,0,1,Plot whole number,2
1200749,1598147,Gb6X0,"Unit RATIONAL-IRRATIONAL-NUMBERS, Section RATIONAL-IRRATIONAL-NUMBERS-1",RATIONAL1-213,1,RationalNumberline1,2007-03-08 15:43:43.0,2007-03-08 15:44:12.0,2007-03-08 15:44:15.0,2007-03-08 15:44:15.0,32.0,,32.0,0,5,1,1,Plot terminating proper fraction,4
1200755,1598153,Gb6X0,"Unit RATIONAL-IRRATIONAL-NUMBERS, Section RATIONAL-IRRATIONAL-NUMBERS-1",RATIONAL1-014,1,RationalNumberline1,2007-03-08 15:45:04.0,2007-03-08 15:45:12.0,2007-03-08 15:45:18.0,2007-03-08 15:45:18.0,6.0,,6.0,0,0,1,1,Plot non-terminating improper fraction,2
1200757,1598155,Gb6X0,"Unit RATIONAL-IRRATIONAL-NUMBERS, Section RATIONAL-IRRATIONAL-NUMBERS-1",RATIONAL1-032,1,RationalNumberline1,2007-03-08 15:45:25.0,2007-03-08 15:45:33.0,2007-03-08 15:45:40.0,2007-03-08 15:45:40.0,10.0,,10.0,0,0,1,1,Plot imperfect radical,1
1200758,1598156,Gb6X0,"Unit RATIONAL-IRRATIONAL-NUMBERS, Section RATIONAL-IRRATIONAL-NUMBERS-1",RATIONAL1-254,1,RationalNumberline1,2007-03-08 15:45:44.0,2007-03-08 15:46:00.0,2007-03-08 15:46:00.0,2007-03-08 15:46:00.0,16.0,16.0,,1,0,0,1,Plot pi,1
1200759,1598157,Gb6X0,"Unit RATIONAL-IRRATIONAL-NUMBERS, Section RATIONAL-IRRATIONAL-NUMBERS-1",RATIONAL1-184,1,RationalNumberline1,2007-03-08 15:46:04.0,2007-03-08 15:46:24.0,2007-03-08 15:46:24.0,2007-03-08 15:46:24.0,20.0,20.0,,1,0,0,1,Plot imperfect radical,2
1200763,1598161,Gb6X0,"Unit RATIONAL-IRRATIONAL-NUMBERS, Section RATIONAL-IRRATIONAL-NUMBERS-1",RATIONAL1-132,1,RationalNumberline1,2007-03-14 14:02:53.0,2007-03-14 14:03:12.0,2007-03-14 14:03:15.0,2007-03-14 14:03:15.0,22.0,,22.0,0,1,0,1,Plot decimal - thousandths,1
1200765,1598163,Gb6X0,"Unit RATIONAL-IRRATIONAL-NUMBERS, Section RATIONAL-IRRATIONAL-NUMBERS-1",RATIONAL1-072,1,RationalNumberline1,2007-03-14 14:03:56.0,2007-03-14 14:04:17.0,2007-03-14 14:04:17.0,2007-03-14 14:04:17.0,21.0,21.0,,1,0,0,1,Plot terminating proper fraction,5
1200789,1598187,Gb6X0,"Unit RATIONAL-IRRATIONAL-NUMBERS, Section RATIONAL-IRRATIONAL-NUMBERS-1",RATIONAL1-123,1,RationalNumberline1,2007-03-14 17:45:59.0,2007-03-14 17:46:21.0,2007-03-14 17:46:23.0,2007-03-14 17:46:23.0,24.0,,24.0,0,2,0,1,Plot non-terminating improper fraction,3
1202063,1600000,k0v2K,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-2",RATIO2-001,1,SimplifiedNumeratorQuantity1,2006-12-11 14:33:22.0,2006-12-11 14:33:25.0,2006-12-11 14:33:25.0,2006-12-11 14:33:25.0,3.0,3.0,,1,0,0,1,Calculate unit rate,1
1202073,1600010,k0v2K,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-2",RATIO2-001,1,SimplifiedNumeratorQuantity2,2006-12-11 14:33:45.0,2006-12-11 14:33:49.0,2006-12-11 14:34:24.0,2006-12-11 14:34:24.0,31.0,,31.0,0,4,1,1,Calculate unit rate,2
1202081,1600018,k0v2K,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-2",RATIO2-095,1,SimplifiedNumeratorQuantity1,2006-12-11 14:35:01.0,2006-12-11 14:35:04.0,2006-12-11 14:35:16.0,2006-12-11 14:35:16.0,15.0,,15.0,0,1,0,1,Calculate unit rate,3
1202090,1600027,k0v2K,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-2",RATIO2-095,1,SimplifiedNumeratorQuantity2,2006-12-11 14:35:33.0,2006-12-11 14:35:36.0,2006-12-11 14:35:45.0,2006-12-11 14:35:45.0,11.0,,11.0,0,1,0,1,Calculate unit rate,4
1202098,1600035,k0v2K,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-2",RATIO2-196,1,SimplifiedNumeratorQuantity1,2006-12-11 14:36:40.0,2006-12-11 14:36:46.0,2006-12-11 14:36:46.0,2006-12-11 14:36:46.0,6.0,6.0,,1,0,0,1,Calculate unit rate,5
1202106,1600043,k0v2K,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-2",RATIO2-196,1,SimplifiedNumeratorQuantity2,2006-12-11 14:37:07.0,2006-12-11 14:37:10.0,2006-12-11 14:37:17.0,2006-12-11 14:37:17.0,10.0,,10.0,0,1,0,1,Calculate unit rate,6
1202115,1600052,k0v2K,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-2",RATIO2-187,1,SimplifiedNumeratorQuantity1,2006-12-11 14:38:04.0,2006-12-11 14:38:10.0,2006-12-11 14:38:10.0,2006-12-11 14:38:10.0,6.0,6.0,,1,0,0,1,Calculate unit rate,7
1202123,1600060,k0v2K,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-2",RATIO2-187,1,SimplifiedNumeratorQuantity2,2006-12-11 14:38:24.0,2006-12-11 14:38:29.0,2006-12-11 14:38:29.0,2006-12-11 14:38:29.0,5.0,5.0,,1,0,0,1,Calculate unit rate,8
1202138,1600075,k0v2K,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-3",RATIO3-001,1,EquationAnswer,2006-12-11 14:45:43.0,2006-12-11 14:45:46.0,2006-12-11 14:45:46.0,2006-12-11 14:45:46.0,3.0,3.0,,1,0,0,1,Calculate part in proportion with fractions,1
1202151,1600088,k0v2K,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-3",RATIO3-130,1,EquationAnswer,2006-12-11 14:48:17.0,2006-12-11 14:48:22.0,2006-12-11 14:48:22.0,2006-12-11 14:48:22.0,5.0,5.0,,1,0,0,1,Calculate total in proportion with fractions,1
1202164,1600101,k0v2K,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-3",RATIO3-103,1,EquationAnswer,2006-12-11 14:51:59.0,2006-12-11 14:52:02.0,2006-12-11 14:52:02.0,2006-12-11 14:52:02.0,3.0,3.0,,1,0,0,1,Calculate part in proportion with fractions,2
1202176,1600113,k0v2K,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-3",RATIO3-109,1,EquationAnswer,2006-12-11 14:52:48.0,2006-12-11 14:52:51.0,2006-12-11 14:52:51.0,2006-12-11 14:52:51.0,3.0,3.0,,1,0,0,1,Calculate total in proportion with fractions,2
